id,name,category,biome,readingLevel,wordDifficulty,sentence,fact,imagePath,tags
pes,Pes,savec,domov,1,1,"Pes štěká.","Pes je nejlepší přítel člověka.",assets/animals-3d/pes.png,"domaci;srst;steka"
kocka,Kočka,savec,domov,2,3,"Kočka mňouká.","Kočka má ostré drápy a vousky.",assets/animals-3d/kocka.png,"domaci;vousky;domy"
lev,Lev,savec,savana,1,1,"Lev řve.","Lev je největší africká kočkovitá šelma.",assets/animals-3d/lev.png,"kral;hriva;afrika"
sova,Sova,ptak,les,1,2,"Sova houkne.","Sova vidí dokonale i ve tmě.",assets/animals-3d/sova.png,"nocni;velke-oci;les"
liska,Liška,savec,les,2,3,"Liška běží.","Liška má hustou rezavou srst.",assets/animals-3d/liska.png,"ruda;ocas;les"
zebra,Zebra,savec,savana,2,3,"Zebra má pruhy.","Každá zebra má jedinečný vzor pruhů.",assets/animals-3d/zebra.png,"pruhy;afrika;savana"
kos,Kos,ptak,les,1,1,"Kos zpívá.","Kos má žlutý zobák a hezky zpívá.",assets/animals-3d/kos.png,"cerny;zobak;zpev"
krava,Kráva,savec,statek,2,3,"Kráva bučí.","Kráva nám dává mléko a smetanu.",assets/animals-3d/krava.png,"mleko;statek;rohy"
kun,Kůň,savec,statek,1,2,"Kůň klusá.","Kůň je velmi rychlý a silný.",assets/animals-3d/kun.png,"hriva;rychly;statek"
zaba,Žába,obojzivelnik,rybnik,1,2,"Žába skáče.","Žába umí skákat i plavat.",assets/animals-3d/zaba.png,"zelena;skace;rybnik"
slon,Slon,savec,savana,1,2,"Slon troubí.","Slon má nejdelší nos ze všech zvířat.",assets/animals-3d/slon.png,"chobot;velky;afrika"
medved,Medvěd,savec,les,2,4,"Medvěd spí.","Medvěd v zimě hibernuje v brlohů.",assets/animals-3d/medved.png,"velky;hnedy;les"
had,Had,plaz,les,1,1,"Had se plazí.","Had nemá nohy a pohybuje se vlněním.",assets/animals-3d/had.png,"plaz;jazyk;bez-noh"
beran,Beran,savec,statek,1,2,"Beran trká.","Beran má velké zatočené rohy.",assets/animals-3d/beran.png,"statek;rohy;vlna"
orel,Orel,ptak,hory,1,2,"Orel letí.","Orel vidí svou kořist z velké výšky.",assets/animals-3d/orel.png,"kridla;hory;zobak"
vlk,Vlk,savec,les,1,1,"Vlk vyje.","Vlk žije v tlupě zvané smečka.",assets/animals-3d/vlk.png,"smedka;les;sedy"
hroch,Hroch,savec,reka,1,2,"Hroch se koupe.","Hroch tráví skoro celý den ve vodě.",assets/animals-3d/hroch.png,"voda;velky;reka"
jelen,Jelen,savec,les,2,3,"Jelen běží.","Jelen nosí velkolepé parohy.",assets/animals-3d/jelen.png,"parohy;les;hnedy"
papousek,Papoušek,ptak,les,3,3,"Papoušek mluví.","Papoušek umí opakovat slova.",assets/animals-3d/papousek.png,"barevny;mluvi;peri"
prase,Prase,savec,statek,2,3,"Prase chrochtá.","Prase se rád válí v bahně.",assets/animals-3d/prase.png,"ruzove;statek;rypak"
ovce,Ovce,savec,louka,2,3,"Ovce bečí.","Z vlny ovce se vyrábí teplé oblečení.",assets/animals-3d/ovce.png,"vlna;bila;louka"
koza,Koza,savec,statek,2,2,"Koza mečí.","Koza dává mléko a umí lézt do kopce.",assets/animals-3d/koza.png,"rohy;mleko;statek"
kohout,Kohout,ptak,statek,2,4,"Kohout kokrhá.","Kohout svým kokrháním oznamuje ráno.",assets/animals-3d/kohout.png,"hrebenek;pero;rano"
slepice,Slepice,ptak,statek,2,4,"Slepice kdáká.","Slepice snáší vajíčka.",assets/animals-3d/slepice.png,"vejce;statek;kur"
kachna,Kachna,ptak,rybnik,2,4,"Kachna kváká.","Kachna má nepromokavé peří.",assets/animals-3d/kachna.png,"zobak;rybnik;zelena-hlava"
husa,Husa,ptak,statek,2,2,"Husa syčí.","Husa je větší než kachna a hlasitě syčí.",assets/animals-3d/husa.png,"bila;krik;dlahy"
kralik,Králík,savec,louka,2,4,"Králík skáče.","Králík má dlouhé uši a rád žere mrkev.",assets/animals-3d/kralik.png,"usi;bila;mrkev"
mys,Myš,savec,domov,1,1,"Myš pípá.","Myš je malá a velmi rychlá.",assets/animals-3d/mys.png,"mala;ocas;seda"
krysa,Krysa,savec,domov,2,3,"Krysa leze.","Krysa je chytrá a dobře se přizpůsobuje.",assets/animals-3d/krysa.png,"seda;ocas;chytra"
tygr,Tygr,savec,les,1,2,"Tygr řve.","Tygr má pruhovanou srst a je velmi rychlý.",assets/animals-3d/tygr.png,"pruhy;oranzovy;asie"
opice,Opice,savec,les,2,3,"Opice skáče.","Opice umí používat nástroje.",assets/animals-3d/opice.png,"stromy;ocas;chytra"
zirafa,Žirafa,savec,savana,2,4,"Žirafa žere listí.","Žirafa je nejvyšší zvíře na světě.",assets/animals-3d/zirafa.png,"krk;skvrny;vysoky"
velbloud,Velbloud,savec,poust,3,5,"Velbloud kráčí.","Velbloud vydrží dlouho bez vody.",assets/animals-3d/velbloud.png,"hrb;poust;voda"
tucnak,Tučňák,ptak,ocean,2,4,"Tučňák plave.","Tučňák neumí létat, ale skvěle plave.",assets/animals-3d/tucnak.png,"led;smoki;plava"
tulen,Tuleň,savec,ocean,2,3,"Tuleň plave.","Tuleň je výborný plavec a potápěč.",assets/animals-3d/tulen.png,"ploutve;vousky;more"
delfin,Delfín,savec,ocean,2,4,"Delfín skáče.","Delfín je velmi inteligentní mořský savec.",assets/animals-3d/delfin.png,"more;pluta;chytry"
velryba,Velryba,savec,ocean,3,5,"Velryba plave.","Velryba je největší zvíře na Zemi.",assets/animals-3d/velryba.png,"velka;more;vodotrysk"
zelva,Želva,plaz,rybnik,2,3,"Želva leze.","Želva může žít přes sto let.",assets/animals-3d/zelva.png,"ulita;pomala;stara"
ryba,Ryba,ryba,reka,1,2,"Ryba plave.","Ryba dýchá žábrami pod vodou.",assets/animals-3d/ryba.png,"pluta;skrupule;voda"
kapr,Kapr,ryba,rybnik,1,2,"Kapr plave.","Kapr žije v řekách a rybnících.",assets/animals-3d/kapr.png,"zlaty;rybnik;vousky"
krokodyl,Krokodýl,plaz,reka,3,3,"Krokodýl plave.","Krokodýl má silný ocas a ostré zuby.",assets/animals-3d/krokodyl.png,"voda;zuby;plaz"
vcela,Včela,hmyz,louka,2,3,"Včela sbírá med.","Včely žijí v úlech a vyrábějí med.",assets/animals-3d/vcela.png,"med;ul;kridla"
mravenec,Mravenec,hmyz,les,3,5,"Mravenec nese zrno.","Mravenec je jeden z nejsilnějších živočichů.",assets/animals-3d/mravenec.png,"silny;tykadla;clanek"
motyl,Motýl,hmyz,louka,2,3,"Motýl letí.","Motýl vychází z kukly.",assets/animals-3d/motyl.png,"kridla;pestry;louka"
moucha,Moucha,hmyz,domov,2,4,"Moucha bzučí.","Moucha mává křídly 200krát za sekundu.",assets/animals-3d/moucha.png,"kridla;oci;rychla"
pavouk,Pavouk,pavoukovec,domov,2,4,"Pavouk tká síť.","Pavouk tká pavučinu, která je velmi pevná.",assets/animals-3d/pavouk.png,"8-noh;pavucina;temny"
snek,Šnek,mekkys,louka,1,2,"Šnek leze.","Šnek nosí svůj dům na zádech.",assets/animals-3d/snek.png,"ulita;pomaly;sliz"
jezek,Ježek,savec,les,2,3,"Ježek se krčí.","Ježek se brání tím, že se stočí do klubíčka.",assets/animals-3d/jezek.png,"trny;les;nocni"
bobr,Bobr,savec,reka,1,2,"Bobr staví hráz.","Bobr staví hráze z větví a bláta.",assets/animals-3d/bobr.png,"hraz;ocas;zuby"
vydra,Vydra,savec,reka,2,3,"Vydra loví.","Vydra je výborný plavec a loví ryby.",assets/animals-3d/vydra.png,"voda;ryby;vousky"
klokan,Klokan,savec,savana,2,2,"Klokan skáče.","Klokan nosí mládě v kapse na břiše.",assets/animals-3d/klokan.png,"skoky;kapsa;mlade"
panda,Panda,savec,les,2,2,"Panda chroupe bambus.","Panda je černobílý medvěd z Číny.",assets/animals-3d/panda.png,"bambus;cernobila"
koala,Koala,savec,les,2,2,"Koala spí.","Koala prospí skoro celý den na stromě.",assets/animals-3d/koala.png,"strom;spanek"
lenochod,Lenochod,savec,les,3,3,"Lenochod odpočívá.","Lenochod se pohybuje velmi pomalu.",assets/animals-3d/lenochod.png,"pomaly;strom"
gorila,Gorila,savec,les,2,2,"Gorila je silná.","Gorila je největší opice na světě.",assets/animals-3d/gorila.png,"sila;prales"
orangutan,Orangutan,savec,les,3,3,"Orangutan šplhá.","Orangutan si staví hnízdo na stromě.",assets/animals-3d/orangutan.png,"strom;splhani"
nosorozec,Nosorožec,savec,savana,3,3,"Nosorožec má roh.","Nosorožec má tlustou kůži a velký roh.",assets/animals-3d/nosorozec.png,"roh;kuze"
lama,Lama,savec,hory,1,1,"Lama nosí náklad.","Lama žije vysoko v horách.",assets/animals-3d/lama.png,"hory;vlna"
leopard,Leopard,savec,savana,2,3,"Leopard má skvrny.","Leopard umí vytáhnout kořist na strom.",assets/animals-3d/leopard.png,"skvrny;rychly"
myval,Mýval,savec,les,2,2,"Mýval se myje.","Mýval si máchá jídlo ve vodě.",assets/animals-3d/myval.png,"maska;voda"
jezevec,Jezevec,savec,les,2,2,"Jezevec ryje noru.","Jezevec má na hlavě černobílé pruhy.",assets/animals-3d/jezevec.png,"nora;pruhy"
netopyr,Netopýr,savec,les,3,3,"Netopýr létá.","Netopýr spí hlavou dolů.",assets/animals-3d/netopyr.png,"noc;kridla"
kanec,Kanec,savec,les,1,2,"Kanec ryje.","Kanec hledá v lese žaludy.",assets/animals-3d/kanec.png,"les;ryje"
osel,Osel,savec,statek,1,1,"Osel hýká.","Osel je trpělivý a velmi silný.",assets/animals-3d/osel.png,"statek;usi"
los,Los,savec,les,1,1,"Los má parohy.","Los je největší jelen na světě.",assets/animals-3d/los.png,"parohy;les"
krecek,Křeček,savec,domov,2,3,"Křeček chroupe.","Křeček si schovává jídlo do tváří.",assets/animals-3d/krecek.png,"tvare;zrni"
bizon,Bizon,savec,louka,2,2,"Bizon se pase.","Bizon má velkou chlupatou hlavu.",assets/animals-3d/bizon.png,"stado;travy"
krocan,Krocan,ptak,statek,2,2,"Krocan hudruje.","Krocan roztahuje ocas jako vějíř.",assets/animals-3d/krocan.png,"statek;ocas"
holub,Holub,ptak,domov,1,1,"Holub vrká.","Holub vždy najde cestu domů.",assets/animals-3d/holub.png,"mesto;kridla"
labut,Labuť,ptak,rybnik,2,2,"Labuť pluje.","Labuť má dlouhý bílý krk.",assets/animals-3d/labut.png,"rybnik;bila"
plamenak,Plameňák,ptak,rybnik,3,3,"Plameňák je růžový.","Plameňák rád stojí na jedné noze.",assets/animals-3d/plamenak.png,"ruzovy;noha"
pav,Páv,ptak,zoo,1,1,"Páv se chlubí.","Páv má ocas plný barevných ok.",assets/animals-3d/pav.png,"ocas;barvy"
kure,Kuře,ptak,statek,1,1,"Kuře pípá.","Kuře se vylíhlo z vejce.",assets/animals-3d/kure.png,"vejce;statek"
zralok,Žralok,ryba,ocean,2,2,"Žralok plave.","Žralok má několik řad zubů.",assets/animals-3d/zralok.png,"zuby;more"
chobotnice,Chobotnice,mekkys,ocean,3,3,"Chobotnice se schovává.","Chobotnice má osm chapadel.",assets/animals-3d/chobotnice.png,"chapadla;more"
krab,Krab,korys,ocean,1,1,"Krab leze bokem.","Krab má tvrdý krunýř a klepeta.",assets/animals-3d/krab.png,"klepeta;more"
jesterka,Ještěrka,plaz,louka,3,3,"Ještěrka se sluní.","Ještěrka umí odhodit ocásek.",assets/animals-3d/jesterka.png,"slunce;ocasek"
beruska,Beruška,hmyz,louka,2,2,"Beruška letí.","Beruška má červená křídla s tečkami.",assets/animals-3d/beruska.png,"tecky;cervena"
brouk,Brouk,hmyz,les,1,1,"Brouk leze.","Brouk schovává křídla pod krovkami.",assets/animals-3d/brouk.png,"krovky;les"
housenka,Housenka,hmyz,louka,2,2,"Housenka se plazí.","Z housenky se jednou stane motýl.",assets/animals-3d/housenka.png,"motyl;listy"
cvrcek,Cvrček,hmyz,louka,2,3,"Cvrček cvrká.","Cvrček hraje křídly jako na housle.",assets/animals-3d/cvrcek.png,"louka;zpev"
stir,Štír,pavoukovec,poust,1,2,"Štír se schovává.","Štír má klepeta a zahnutý ocas.",assets/animals-3d/stir.png,"poust;klepeta"
