id,text,level,category,recommendedDifficulty,isAnimal,supportsZooReward,notes
w001_oko,oko,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w002_usi,uši,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w003_nos,nos,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w004_pusa,pusa,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w005_ruka,ruka,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w006_noha,noha,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w007_zub,zub,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w008_les,les,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w009_dum,dům,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w010_den,den,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w011_noc,noc,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w012_vlak,vlak,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w013_auto,auto,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w014_kolo,kolo,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w015_mic,míč,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w016_caj,čaj,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w017_syr,sýr,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w018_sul,sůl,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w019_voda,voda,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w020_mama,máma,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w021_tata,táta,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w022_babi,babi,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w023_deda,děda,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w024_misa,mísa,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w025_lupa,lupa,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w026_lano,lano,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w027_pila,pila,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w028_pero,pero,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w029_rosa,rosa,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w030_hora,hora,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w031_bota,bota,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w032_stul,stůl,L1_short,Krátká jednoduchá slova,2,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w033_kruh,kruh,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w034_list,list,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w035_mrak,mrak,L1_short,Krátká jednoduchá slova,1,False,False,"První čtení: krátká, konkrétní a dobře představitelná slova."
w036_slunce,slunce,L2_simple,Jednoduchá běžná slova,2,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w037_mesic,měsíc,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w038_hvezda,hvězda,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w039_nebe,nebe,L2_simple,Jednoduchá běžná slova,1,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w040_zeme,země,L2_simple,Jednoduchá běžná slova,2,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w041_kamen,kámen,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w042_pisek,písek,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w043_skola,škola,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w044_trida,třída,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w045_kniha,kniha,L2_simple,Jednoduchá běžná slova,2,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
w046_sesit,sešit,L2_simple,Jednoduchá běžná slova,3,False,False,"Běžná slova z domova, školy, jídla a okolí dítěte."
